occupation_item_id	occupation_counts	en_label	en_description
42603	23666	priest	person authorized to lead the sacred rituals of a religion (for a minister use Q1423891)
131524	16616	entrepreneur	individual who organizes and operates a business, taking on financial risk to do so
183888	298	software developer	person concerned with facets of the software development process
10841764	700	Formula One driver	racing automobile driver competing in Formula One
3014296	3674	motorcycle racer	person who for their profession or a hobby participates in competitions with a motorcycle
3303330	2486	calligrapher	artist who write phrases or texts according to the art of calligraphy
13388586	454	softball player	sportsperson taking part in softball competitions
384593	4107	police officer	warranted employee of a police force
13388442	473	skeleton racer	sportsperson taking part in skeleton races
10833314	10038	tennis player	sportsperson who plays tennis
10349745	6694	racing automobile driver	occupation driving an automobile in competition
16533	31586	judge	official who presides over court proceedings
178885	3	deity	natural or supernatural god or goddess, divine being
8246794	2042	blogger	person who writes a blog
10871364	35329	baseball player	person who plays the game of baseball
185196	434	midwife	medical professional who practices obstetrics as a health science
15442776	314	cryptographer	specialist on techniques for secure communication in the presence of third parties
3621491	10976	archaeologist	person studying human activity in the past
1607826	8393	editor	person who edits texts or publications
11892507	731	comics writer	person who writes comics
774306	7233	surgeon	physician with surgical specialty
860918	4832	Esperantist	person speaking or using the international language Esperanto
2516866	8730	publisher	person heading a publishing house, normally the owner or founder
56810907	65	esperantologist	
386854	4427	drummer	percussionist who creates and accompanies music using drums
15976715	16	interlinguist	
627325	4046	graphic designer	person who assembles images, typography or motion graphics to create a piece of design
5322166	7376	designer	person who designs
1749879	14872	pensioner	person who collects a pension, most commonly because of a retirement from the workforce
19204627	32201	American football player	sportsperson who is active in American football
2986228	1790	sports commentator	sports broadcaster who comments a live event
18805	2719	naturalist	person who studies and knows a lot about plants, animals and natural history (esp in the field); person who writes, paints, etc. in the style of naturalism (in art and literature);
674426	3313	curator	content specialist charged with an institution's collections and involved with the interpretation of heritage material
1225716	3065	ornithologist	scientist specialising in ornithology
4205432	2960	ichthyologist	fish scientist
18663426	234	topologist	mathematician who studies topology
16003954	491	oboist	musician who plays oboe
13382603	2849	ski jumper	sportsperson taking part in ski jumping competitions
13382605	1154	Nordic combined skier	sportsperson taking part in Nordic combined competitions
5716684	9203	dancer	person who dances
2374149	20709	botanist	person who practices botany
2487799	1445	mycologist	biologist who studies fungi
3055126	17574	entomologist	scientist specialising in entomology
520549	6800	geologist	scientist who studies geology
4009406	5901	sprinter	sportsperson taking part in running competitions up to a distance of 400 meters
2252262	5522	rapper	artist who speaks rhymes in a rhythm over music
19587958	245	sports scientist	
19827985	147	track and field coach	
4773904	7380	anthropologist	person with an extensive knowledge of anthropology
17488357	222	historian of religion	humanist who is engaged in history of religion
744738	184	Encyclopédistes	contributing editor of the „Encyclopédie, ou dictionnaire raisonné des sciences, des arts et des métiers“
2309784	30349	sport cyclist	someone who competes in the sport of cycling
897317	390	winegrower	who cultivates the vineyard, entrusts the winemaking to a winery cooperative or a merchant
13381863	5716	fencer	sportsperson taking part in fencing competitions
3400985	12326	academic	person who works as a teacher or researcher at a university or other higher education institution
465501	1106	stunt performer	person who performs stunts
2833480	52	stunt coordinator	arranges the casting and performance of stunts for a film, TV, or stage production
329455	907	justice of the peace	judicial officer, of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace
10297252	773	detective writer	
5482740	1216	programmer	person who writes computer software
15627169	9302	trade unionist	person involved in trade unions; member or supporter of a trade union
11900058	6669	explorer	person who by means of travel searches out new information
14972848	1642	lexicographer	writer, editor, or compiler of dictionaries
2917466	104	psychic	person who claims to use extrasensory perception to identify information hidden from the normal senses
212980	10226	psychologist	professional who evaluates, diagnoses, treats, and studies behavior and mental processes
17125263	1635	YouTuber	person that produces YouTube videos
1979034	6	network engineer	profession that deals with using computer networks according to hardware and software
1709010	193	software engineer	practitioner of software engineering
250867	41506	Catholic priest	main form of minister in the Catholic Church
1320883	415	talent manager	person or company that guides the career of an artist
19934710	84	air force officer	military officer in an air force
11631	779	astronaut	person who commands, pilots, or serves as a crew member of a spacecraft
1053574	801	executive producer	profession
10816969	280	club DJ	disc jockey that performs for a live audience
289612	104	general contractor	profession
901402	5537	geographer	scholar whose area of study is geography
1780490	151	communard	member of the Paris Commune (1871)
2961975	5884	business executive	person responsible for running a business, or an aspect of it
266569	3653	animator	person who makes animated sequences out of still images
18545066	706	stand-up comedian	comedian of stand-up comedy
10669499	2135	naval officer	commissioned officer serving in a navy
3492027	914	submariner	
3578589	1149	environmentalist	someone who supports the goals of the environmental movement
16323111	842	peace activist	activist focused on avoiding war
131062	1091	urban planner	professional who works on city planning
15491419	1	Director of UEA	
2865819	11945	opera singer	singer who sings in operas
11774891	30349	ice hockey player	sportsperson taking part in ice hockey competitions
13365117	10743	handball player	sportsperson who plays one of the different types of handball
19850998	177	sound artist	artist who uses sound as a medium
1323191	3223	costume designer	person who designs costumes
3501317	3338	fashion designer	one who designs clothing and related items
215548	39	jester	historical entertainer
715222	617	lady-in-waiting	female personal assistant at a court, royal or feudal, attending on a queen, a princess, or a high-ranking noblewoman
222344	7834	cinematographer	chief over the camera and lighting crews working on a film
948329	310	character actor	actor who predominantly plays unusual or eccentric characters
15855449	1086	magician	entertainer who performs magic by creating the illusion of impossible or supernatural feats
1759246	488	theatrical producer	person who oversees the staging of theatre productions
730242	560	test pilot	aviator who flies new and modified aircraft in specific maneuvers
715301	7492	comics artist	person who creates comics
15995642	411	religious leader	leader for a religious organization
635734	4257	archivist	professional who assesses, collects, organizes, preserves, maintains control over, and provides access to information determined to have long-term value
1231865	10826	pedagogue	person working in the academic field of pedagogy
578109	4524	television producer	occupation within video production for TV
1148872	200	impressionist	performer whose act consists of imitating the voice and mannerisms of others
1483709	458	land owner	owner of land; holder of the estate in land with considerable rights of ownership
2468727	2111	classical scholar	person who studies classics, the culture of (mainly) Ancient Greece and Ancient Rome
17598791	338	latinist	specialist of the Latin language
13382576	14681	rower	sportsperson taking part in rowing competitions
859528	4796	association football referee	supervisor of a game of association football
488111	5655	pornographic actor	person who performs sex acts in pornographic films
584301	1124	bassist	musician who plays a bass instrument
6673651	712	literary	person who works on literature
3368718	1407	pathologist	physician with medical specialty pathology
13474373	4425	professional wrestler	sportsperson taking part in professional wrestling
15982795	355	bodybuilder	person practicing bodybuilding
58891836	29	fitness model	person who models with a focus on athletic physique
15839206	674	molecular biologist	profession
3126128	1931	geneticist	biologist who studies genetics and performs general research on genetic processes as well as development of genetic technologies to aid in the medicine and agriculture industries
11481802	2090	dub actor	actor specialized in voice dubbing
9648008	530	banjoist	person who plays the banjo
12362622	1737	philanthropist	person known for philanthropic work
662729	1088	public figure	legal concept
13219637	1750	cellist	musician who plays the cello
18515558	1228	futsal player	sportsperson who plays futsal
13382533	4423	taekwondo athlete	sportsperson taking part in taekwondo competitions
222749	115	acting	impersonation of a fictional character
6665249	7262	judoka	sportsperson taking part in judo competitions
16154896	80	session musician	profession; musician hired to perform in recording sessions or live performances
1075651	905	keyboardist	musician who plays keyboard instruments
4175034	91	legislator	member of a legislature
1114448	3671	cartoonist	visual artist who makes cartoons
7334758	20	ring announcer	sport announcer
2055046	1586	physiologist	scientist who studies the function of living systems
2004963	1163	numismatist	person studying currencies, coins or paper money
1493121	752	military historian	humanist who is engaged in history of military
805221	3603	ballet dancer	person who practices the art of ballet
2490358	6229	choreographer	person who creates choreographies
805253	459	ballet master	profession
8963721	844	genealogist	person specializing in genealogy
3332711	1517	medievalist	historian, scientist or expert in medieval studies
765778	5015	organist	musician who plays any type of organ
2330979	30	polygraph	author who writes in a variety of fields
66711686	399	railway engineer	civil engineer who designs rail infrastructure
5358395	117	electronic musician	musician who makes electronic music
3640160	597	marine biologist	scientist specialising in marine biology
2034021	182	dressmaker	person who makes custom clothing for men and women
1294626	173	music artist	occupation
18810049	41	cosplayer	one who takes part in cosplay
128124	2132	audio engineer	engineer who operates recording, mixing, sound reproduction equipment
3286043	788	glamour model	person who models for erotic photographs, mostly topless or nude but ranging up to fully clothed
5784340	268	consort	spouse of a ruler
1781198	3237	agronomist	scientist who specialises in agronomy
5137571	6913	basketball coach	one who directs and strategizes the behavior of a basketball team or player
20730881	145	volleyball coach	
15117302	13707	volleyball player	sportsperson who plays volleyball
6168364	1636	jazz guitarist	guitarist who plays jazz
13590141	3451	presenter	person who hosts an event, for television presenter see: Q947873
11774156	556	memoirist	type of autobiographer
3455803	6576	director	director of a creative work
13218361	382	polo player	sportsperson that plays polo
1524582	437	rancher	person who raises livestock on a ranch
16060693	377	conservationist	person who seeks to protect natural resources including animal and plant species as well as their habitat for the future
1326886	1517	electrical engineer	person having Diploma or Degree in Electrical Engineering
3953096	62		
175151	2735	printer	profession
15994177	42	political theorist	
1416611	130	postmaster	head of a post office
1225491	3	dilettante	occupation
270141	52	Polymath	Individual whose knowledge spans a significant number of subjects
10873124	19961	chess player	individual who takes part in chess tournaments
23305046	72	freemason	individual member
1079215	2976	AV Idol	Japanese idol who works in the pornographic business
9352089	1553	spy	person engaged obtaining information that is considered secret or confidential
484876	2145	chief executive officer	highest-ranking corporate officer or administrator
10384029	623	drug trafficker	unlicensed dealer in illegal drugs
15816836	444	bacteriologist	profession
2114605	1139	pharmacologist	study the manner in which drugs and medications interact with organisms, living systems, and their parts (i.e. cells, tissues, or organs)
27532437	2239	suffragist	activist advocating for the women's right to vote
322170	1181	suffragette	member of the Woman's Social and Political Union who advocated for women's right to vote
4220892	1798	film critic	journalist, who is dealing with films
361809	170	rhetorician	teacher of rhetoric
13570226	2150	literary historian	humanist who is engaged in history of literature
29182	335	bishop	ordained or consecrated member of the Christian clergy (for Catholic bishops, use Q611644, for Orthodox bishops, use Q15283040)
5121444	261	intelligence officer	person employed by an organization to collect, compile and/or analyze information
105186	3345	pharmacist	healthcare professional who practices in pharmacy
191808	2152	nun	member of a religious community of women
189829	122	hermit	person who lives in seclusion from society
42857	138	prophet	person claiming to speak for divine beings
4178004	220	publicist	person who manages publicity for a public figure, a business or a work
17221	251	spokesperson	someone engaged or elected to speak on behalf of others
10866633	2831	speed skater	sportsperson taking part in speed skating competitions
211346	4827	psychiatrist	physician who specializes in psychiatry
24387326	183	mythographer	writer on mythology
1572123	24	systems engineer	profession
10843263	5038	field hockey player	sportsperson taking part in field hockey tournaments
1021386	185	civil rights advocate	
2341443	1179	instrument maker	profession
1259323	442	tribal chief	leader of a tribal society or chiefdom
15972912	798	modern pentathlete	athlete competing in modern pentathlons
14915627	7727	musicologist	occupation
20198542	470	music historian	occupation
156839	1121	cook	occupation involving cooking food
1314140	67	audio drama actor	voice actor in an audio drama or radio play
721834	189	manager	supporting character in professional wrestling
50654094	186	futsal coach	
3391743	4735	visual artist	artist involved with the visual arts
10732476	2975	art collector	person who collects art
13381376	3491	weightlifter	sportsperson who competes in weightlifting competitions
63173086	158	Jesuit	member of the Society of Jesus
13141064	21046	badminton player	sportsperson specialized in badminton
2462658	3716	manager	person whose job is to manage something
2516852	479	literary editor	editor in a newspaper, magazine or similar publication who deals with aspects concerning literature and books, especially reviews
126236	83	conquistador	soldiers, explorers, and adventurers at the service of the Spanish Empire and Portuguese Empire
19890761	17	artivist	
3606216	67	aphorist	writer of aphorisms
974144	4225	educator	occupation which teaches others knowledge, skills, and habits
355242	188	showman	people who run amusement and side show equipment at regional shows, state capital shows, events and festivals
619851	27	gunfighter	person able to shoot quickly and accurately with a gun
18289562	12	frontiersman	person who lives on the frontier
865935	170	baseball coach	assistants to baseball (or softball) managers
2566598	849	Christians Jehovah’s Witnesses	"member of a religious order or religious institute; ""monk"" or ""nun"", as opposed to an ordained ""priest"""
4351403	1355	percussionist	musician who plays percussion
118865	983	clarinetist	person who plays the clarinet
164236	349	war correspondent	journalist specializing in coverage of armed conflicts
3579035	257	travel writer	person who writes travel literature
1208175	1110	camera operator	professional operator of a film or video camera
16611574	128	social reformer	person who works towards social reform
15709642	1127	snowboarder	sportsperson
15253558	4635	activist	person working with promoting or impeding, or causing social, political, economic, or environmental change
15214752	823	cabaret artist	performing artist specialized in cabaret
41583	6089	coach	person involved in directing, instructing and training sportspeople
19350898	723	theoretical physicist	occupation
15839134	1593	ecologist	person who works in the scientific field of ecology
13381572	5739	artistic gymnast	sportsperson who takes part in artistic gymnastics competitions
1897112	706	skipper	person responsible in a recreational or professional ship
5352191	973	technician	worker in technology
10872101	1204	anatomist	scientist with a specialty in anatomy
6337803	1605	neuroscientist	individual who studies neuroscience
783906	1754	neurologist	physician who specializes in neurology
12377274	1559	trumpeter	musician who plays the trumpet
876864	3047	contributing editor	profession in the media business
2449921	286	drama teacher	educator who teaches acting
13418253	5490	philologist	person who practices philology
5697103	635	antiquarian	specialist or aficionado of antiquities or things of the past
3330547	607	chronicler	writer of a chronicle
1735282	39	cashier	person who handles the exchanging of money for goods at a store
80687	664	secretary	occupation
1569495	1406	lecturer	tenure-track or tenured position at a university or similar institution
622807	7133	seiyū	Japanese voice actor or actress
191633	6341	mangaka	people who create manga
19760296	120	viol player	person who plays the viola da gamba
5371902	603	harpsichordist	person who plays the harpsichord
212238	11361	civil servant	person employed for a government department or agency
178197	294	mercenary	soldier who fights for hire
1409420	680	feudatory	someone who rules an area, (at least nominally) as vassal to a feudal overlord
11573099	61	royalty	family and relative members of the king or queen
327029	448	mechanic	profession
60319535	49	starship pilot	person who controls the flight of a starship
1714828	161	hunter	person who hunts
55983771	101	assassin	profession
2859165	57	aquanaut	underwater diver who remains at depth for longer than 24 hours
254651	346	navigator	crew position responsible for navigation of an aircraft or vessel
621613	70	bounty hunter	person who catches fugitives for a monetary reward
15983985	779	classical archaeologist	archaeologist in the field of the Graeco-Roman antiquity
462390	1125	docent	person who teaches at universities and educational institutions
998550	2686	bookseller	person selling books
4182927	394	stockbroker	professional  who buys and sells shares and other securities for both retail and institutional clients
2962070	1207	production designer	person responsible for the overall look of a filmed event
15472169	691	patron of the arts	person who engages in patronage
7019111	1678	social worker	person who performs social work
12318472	25	department head	manager of a university department
22336956	93	humanitarian	person dedicated to the help of people
11085831	340	interpreter	person who works with translating and communicating in different languages
1731155	1429	orientalist	person who studies Oriental cultures
64733534	179	collector of fairy tales	
3410028	852	psychoanalyst	psychiatrist or psychotherapist who specializes in psychoanalysis
222982	975	flying ace	Distinction given to fighter pilots
618694	492	fighter pilot	military aviator trained to engage in air-to-air, and often air-to-ground, combat
202883	2412	veterinarian	professional who treats disease, disorder, and injury in animals
48352	22	head of state	official who holds the highest-ranked executive position in a sovereign state
1999841	620	faqih	expert in Islamic jurisprudence
19641	10	marja'	highest clerical rank in Usuli Twelver Shia Islam
27628370	1	Commander-in-Chief of the Iranian Armed Forces	
9334029	199	satirist	author of satirical texts
19698265	314	fashion photographer	person who photographs fashion items
957729	1353	photojournalist	journalism occupation
758780	608	gardener	person who tends gardens
16031530	658	music theorist	person who studies music theory
17484288	322	ethnomusicologist	person studying ethnomusicology
19643	118	queen regnant	female monarch who rules a country in her own right
3264451	903	cardiologist	physician who specializes in cardiology
3243461	587	collector	person whose occupation or hobby is collecting things
19361459	255	assyriologist	
16029547	3437	biathlete	sportsperson taking part in winter biathlon competitions
19960661	50	biathlon coach	coach for the sport biathlon
12912932	140	mufassir	author of tafsir (explanations or interpretations of religious texts, usually the Qur'an)
20725072	132	torturer	criminal occupation
15949613	963	short story writer	author or writer of short stories
752129	1423	astrophysicist	person who is occupied in astrophysics
22813352	327	traveller	person who travels or makes voyages
42331263	132	American football coach	coach of American football
13581129	778	orienteer	sportsman practicing orienteering competitions
2732142	2390	statistician	person who works with theoretical or applied statistics
13219587	6156	figure skater	sportsperson who takes part in figure skating tournaments
2998308	53	cosmologist	astronomer who studies cosmology
188784	529	superhero	"type of stock character usually possessing ""supernatural or superhuman powers"" and dedicated to protecting the public"
3562775	131	thief	person who has carries out a theft
17318006	121	freediver	person who dives underwater without breathing apparatus
12013238	1171	ophthalmologist	physician who practices ophthalmology
14565331	163	logician	person specializing in formal logic
18930418	25	analytic philosopher	
18930236	18	philosopher of language	
6606110	2689	industrialist	owner or operator of a factory or manufacturing business
685433	223	salesperson	person whose job it is to sell things
2159907	1187	criminal	person who has committed a crime
1533366	117	Queen's Counsel	jurist appointed by letters patent
1642960	346	pundit	someone who offers to mass media their opinion, may be used derogatory
354034	247	type designer	person who designs typefaces
2000124	480	postage stamp designer	person who designs postage stamps
600751	702	prosecutor	supreme representative of the prosecution (of the state)
144662	216	sports agent	agent who procures and negotiates employment and endorsement contracts for an athlete
9149093	2379	mountaineer	person who climbs mountains
21244999	209	forestry scientist	profession
15306067	1379	triathlete	person who takes part in triathlons
2560600	32	tool and die maker	
1955150	1098	musical instrument maker	manufacturer of musical instruments
247797	167	customs officer	profession
157802	25	Margrave	originally the medieval title for the military commander of the border provinces of the Holy Roman Empire or of a kingdom
1544133	321	game author	author of games
335757	272	assessor	judge's or magistrate's assistant
2259532	2714	cleric	member of the clergy of a religion
18581305	4393	beauty pageant contestant	participant in a beauty contest
16334509	189	pteridologist	botanist who studies ferns
16334507	303	bryologist	bryology specialist
15924544	1075	lichenologist	person who studies lichen
1198887	702	music director	director of music, for an orchestra, film, radio station, etc.
13856320	379	hammer thrower	athlete participating in the hammer throw
16335117	721	geophysicist	person who combines geoscience and physics
12051314	249	seismologist	scientist who does research in seismology
2815948	1009	landscape architect	person involved in the planning, design and sometimes direction of a landscape, garden, or distinct space
16271261	834	malacologist	scientist who studies molluscs
728711	489	Playboy Playmate	female model featured in a centerfold of  Playboy magazine
484188	1060	serial killer	individual who has killed three or more people over a period of more than a month
355493	410	church musician	profession
222836	374	music publisher	profession
955464	1929	parson	profession. presbyter in front of a Christian parish in general
4988856	148	hebraist	someone who deals with Hebrew studies
