item_id	occupation_count	occupation	description	in_google_news	language_detected	source	label	labeled_by	label_error_reason
11338576	15163	boxer	sportsperson taking part in boxing competitions	1	ku	wikidata	1	human	
551835	563	physician writer	physicians who write creatively in fields outside their practice of medicine	0	en	wikidata	-1		
23833535	2461	French Resistance fighter		0	en	wikidata	-1		
121594	12119	professor	academic title at universities and other education and research institutions	1	ia	wikidata	1	human	
628099	25695	association football manager	team manager in association football (soccer)	0	en	wikidata	-1		
733786	3491	monk	member of a monastic religious order	1	Unknown	wikidata	1	human	
4504549	2217	religious servant	member of a religious community	0	en	wikidata	-1		
18921227	194	ufologist	person who specializes in ufology	1	de	wikidata	1	human	
12859263	379	orator	public speaker	1	tr	wikidata	1	human	
1234713	19193	theologian	person who studies theology	1	en	wikidata	1	human	
15077007	792	podcaster	person who creates podcasts	1	da	wikidata	1	human	
15978655	659	consultant	professional who provides advice in their specific field of expertise	1	fr	wikidata	1	human	
15980158	6820	non-fiction writer	author who writes non-fiction texts	0	en	wikidata	-1		
219477	6070	missionary	member of a religious group sent into an area to do evangelism	1	en	wikidata	1	human	
1747339	16	trobairitz	Occitan female troubadours of the 12th and 13th centuries	0	oc	wikidata	-1		
2478141	7108	aristocrat	person who either possess hereditary titles granted by a monarch or are related to such people	1	oc	wikidata	1	human	
15981151	9437	jazz musician	musician who plays jazz	1	ku	wikidata	1	human	
17486376	3604	sport shooter	person who does sport shooting	0	en	wikidata	-1		
3665646	34680	basketball player	sportsperson taking part in basketball competitions	0	en	wikidata	-1		
1996467	24	trouvère		0	fr	wikidata	-1		
767975	3	Goliard		0	vo	wikidata	1	human	
2251335	1940	school teacher	teacher in primary or secondary education	0	en	wikidata	-1		
2629392	957	puppeteer	person who manipulates a puppet in real time to create the illusion of life	1	nl	wikidata	1	human	
16402890	242	draughts player	person who plays draughts professionally	0	en	wikidata	-1		
350979	10426	zoologist	someone who studies or practices zoology	1	en	wikidata	1	human	
16868721	1273	carcinologist	scientist who studies crustaceans	0	fr	wikidata	-1		
186370	491	troubadour	composer and performer of Old Occitan lyric poetry during the High Middle Ages	1	en	wikidata	1	human	
1250916	697	warrior	person specializing in combat or warfare	1	en	wikidata	1	human	
864503	8907	biologist	scientist studying living organisms	1	en	wikidata	1	human	
12800682	3525	saxophonist	musician who plays the saxophone	1	de	wikidata	1	human	
674067	193	mime artist	someone who uses mime as a theatrical medium or performance art	1	lb	wikidata	1	human	
2643890	904	vocalist	artist using his/her voice as an instrument	1	de	wikidata	1	human	
13235160	2056	producer	individual or organization that creates goods and services	1	ia	wikidata	1	human	
12797895	97	occultist	occupation; study of occult practices	1	en	wikidata	1	human	
2340668	298	music video director	person who directs the music artist, the actors and film crew in making music videos	0	ia	wikidata	-1		
3068305	500	salonnière	person who organizes or hosts a salon	0	fr	wikidata	-1		
329439	5205	engraver	person with the profession of engraving	1	da	wikidata	1	human	
998628	586	illuminator	artist who illustrates books and manuscripts	1	ia	wikidata	1	human	
13365770	719	copperplate engraver	person who creates copper plates by engraving lines on them	0	ia	wikidata	-1		
17391638	37	art theorist	profession that works in the field of art theory	0	en	wikidata	-1		
15296811	11185	drawer	person who makes drawings (artist/cartoonist/drafter/illustrator)	1	Unknown	wikidata	0	human	
1437754	167	xylographer	person who designs a wooden plate for printing	0	da	wikidata	-1		
644687	13792	illustrator	narrative artist who makes images for printed and electronic products	1	la	wikidata	1	human	
33082999	105	ukiyo-e artist	Person who drew Ukiyo-e	0	Unknown	wikidata	-1		
4610556	20946	model	person employed to display, advertise and promote products, or to serve as a visual aid	1	fi	wikidata	1	human	
208762	324	chaplain	minister of a religious tradition who is attached to an institution	1	fr	wikidata	1	human	
63253698	195	dominican friar	member of Dominican Order	0	ia	wikidata	-1		
822146	6518	lyricist	writer who specializes in writing song lyrics	1	da	wikidata	1	human	
13381753	1511	middle-distance runner	sportsperson taking part in running competitions over distances of at least 800 metres up to 3000 metres	0	nb	wikidata	-1		
3427922	1135	restaurateur	person who opens and runs restaurants professionally	1	fr	wikidata	1	human	
55960555	847	recording artist	person, musician who performs music for recordings	0	en	wikidata	-1		
947873	16759	television presenter	person who introduces or hosts television programs	0	ia	wikidata	-1		
512314	1189	socialite	person of prominence with a high social position in upper class society	1	fr	wikidata	1	cleanlab	
2066131	23950	athlete	person who participates regularly in a sport	1	bs	wikidata	1	human	
18510502	843	javelin thrower	sportsperson taking part in javelin throw competitions	1	en	wikidata	1	human	
593644	17414	chemist	scientist trained in the study of chemistry	1	fr	wikidata	1	human	
18930007	69	political philosopher		0	en	wikidata	-1		
11499147	947	political activist	activist wanting political change	0	en	wikidata	-1		
3589292	13	women letter writer		0	en	wikidata	-1		
34074720	1638	feminist	person who defends feminism	1	en	wikidata	1	human	
116	2945	monarch	person at the head of a monarchy	1	kw	wikidata	1	human	
22073916	85	tragedy writer		0	en	wikidata	-1		
10843402	12954	swimmer	sportsperson taking part in swimming competitions	1	Unknown	wikidata	1	human	
2919046	3353	biochemist	scientist specialized in biochemistry	1	fr	wikidata	1	human	
215536	5976	merchant	businessperson who trades in commodities that were produced by others	1	fr	wikidata	1	human	
21694268	114	amateur photographer		0	fr	wikidata	-1		
48282	1301	student	learner, or someone who attends an educational institution	1	en	wikidata	1	human	
806349	1415	bandleader	leader of a band of musicians	1	en	wikidata	1	human	
15142825	279	crystallographer	person who studies crystallography	1	ia	wikidata	1	human	
14906342	531	biophysicist	profession	1	en	wikidata	1	human	
1650915	488772	researcher	person who engages in research, professionally or otherwise	1	en	wikidata	1	human	
181888	38	khan	Turkic and Mongol governor title	1	vi	wikidata	0	human	
82594	7988	computer scientist	scientist specializing in computer science	0	en	wikidata	-1		
13382608	3700	cross-country skier	sportsperson taking part in cross-country skiing competitions	0	en	wikidata	-1		
12144794	1263	prosaist	person who writes in prose	0	Unknown	wikidata	-1		
27214348	27	inspector	person who performs inspections	1	en	wikidata	1	human	
1097498	1393	ruler	person who reigns over a certain region or country	1	da	wikidata	1	human	
1281618	33753	sculptor	artist specializing in sculpture	1	ia	wikidata	1	human	
151197	496	combat engineer	military vocation	0	nl	wikidata	-1		
1792450	10441	art historian	humanist who is engaged in history of art	0	ga	wikidata	-1		
14467526	13819	linguist	expert in human languages	1	en	wikidata	1	human	
28004591	458	professeur des universités	"type of position in french university, that gives the ""professor"" title"	0	fr	wikidata	-1		
37226	33557	teacher	person who helps others to acquire knowledge, competences or values	1	en	wikidata	1	human	
13724897	607	hurdler	sportsperson taking part in hurdling events	1	da	wikidata	1	human	
1925963	2951	graphic artist	artist who makes lines on paper through various drawing and print techniques, or the digital equivalent	0	en	wikidata	-1		
10862983	1599	etcher	"artist who practices the ""art of etching"""	1	tr	wikidata	1	human	
155647	971	astrologer	person who practices astrology	1	tr	wikidata	1	human	
11303721	4825	golfer	someone who plays golf	1	da	wikidata	1	human	
42973	43018	architect	person trained to plan and design buildings, and oversee their construction	1	en	wikidata	1	human	
12059906	68	herder	person who tends, feeds, or guards herds of various domestic animals in places where these animals wander pasture lands	1	en	wikidata	1	human	
12571597	1	forwarding agent		0	en	wikidata	-1		
168827	8	prophets of Islam	Apostles who preach the news of what comes from the revelation and Sharia	0	en	wikidata	-1		
432386	1188	preacher	person who delivers sermons or gives homilies	1	en	wikidata	1	human	
1402561	8586	military leader	profession	0	en	wikidata	-1		
15895020	1612	aerospace engineer	engineering profession	0	nl	wikidata	-1		
901	29163	scientist	person that studies a science	1	la	wikidata	1	human	
24262584	639	Bible translator	person translating the Bible	0	en	wikidata	-1		
13424456	934	hymnwriter	person who writes words, or both words and music, for religious songs	0	en	wikidata	-1		
763779	18	Protestant reformer	occupation	1	da	wikidata	1	human	
42603	23666	priest	person authorized to lead the sacred rituals of a religion (for a minister use Q1423891)	1	en	wikidata	1	human	
131524	16616	entrepreneur	individual who organizes and operates a business, taking on financial risk to do so	1	fr	wikidata	1	human	
183888	298	software developer	person concerned with facets of the software development process	0	en	wikidata	-1		
10841764	700	Formula One driver	racing automobile driver competing in Formula One	0	en	wikidata	-1		
3014296	3674	motorcycle racer	person who for their profession or a hobby participates in competitions with a motorcycle	0	ia	wikidata	-1		
3303330	2486	calligrapher	artist who write phrases or texts according to the art of calligraphy	1	en	wikidata	1	human	
13388586	454	softball player	sportsperson taking part in softball competitions	0	en	wikidata	-1		
13388442	473	skeleton racer	sportsperson taking part in skeleton races	1	da	wikidata	1	human	
10833314	10038	tennis player	sportsperson who plays tennis	0	en	wikidata	1	human	
10349745	6694	racing automobile driver	occupation driving an automobile in competition	0	da	wikidata	-1		
16533	31586	judge	official who presides over court proceedings	1	Unknown	wikidata	1	human	
178885	3	deity	natural or supernatural god or goddess, divine being	1	cs	wikidata	0	human	
8246794	2042	blogger	person who writes a blog	1	da	wikidata	1	human	
10871364	35329	baseball player	person who plays the game of baseball	0	en	wikidata	-1		
185196	434	midwife	medical professional who practices obstetrics as a health science	1	mi	wikidata	1	human	
15442776	314	cryptographer	specialist on techniques for secure communication in the presence of third parties	1	en	wikidata	1	human	
3621491	10976	archaeologist	person studying human activity in the past	1	la	wikidata	1	human	
11892507	731	comics writer	person who writes comics	0	en	wikidata	1	human	
774306	7233	surgeon	physician with surgical specialty	1	fr	wikidata	1	human	
860918	4832	Esperantist	person speaking or using the international language Esperanto	0	en	wikidata	-1		
2516866	8730	publisher	person heading a publishing house, normally the owner or founder	1	en	wikidata	1	human	
56810907	65	esperantologist		0	da	wikidata	-1		
386854	4427	drummer	percussionist who creates and accompanies music using drums	1	en	wikidata	1	human	
15976715	16	interlinguist		0	da	wikidata	-1		
627325	4046	graphic designer	person who assembles images, typography or motion graphics to create a piece of design	1	da	wikidata	1	human	
5322166	7376	designer	person who designs	1	da	wikidata	1	human	
1749879	14872	pensioner	person who collects a pension, most commonly because of a retirement from the workforce	1	es	wikidata	1	human	
19204627	32201	American football player	sportsperson who is active in American football	0	en	wikidata	-1		
2986228	1790	sports commentator	sports broadcaster who comments a live event	0	fr	wikidata	-1		
18805	2719	naturalist	person who studies and knows a lot about plants, animals and natural history (esp in the field); person who writes, paints, etc. in the style of naturalism (in art and literature);	1	de	wikidata	1	human	
674426	3313	curator	content specialist charged with an institution's collections and involved with the interpretation of heritage material	1	ia	wikidata	1	human	
1225716	3065	ornithologist	scientist specialising in ornithology	1	la	wikidata	1	human	
4205432	2960	ichthyologist	fish scientist	1	de	wikidata	1	human	
18663426	234	topologist	mathematician who studies topology	0	de	wikidata	-1		
16003954	491	oboist	musician who plays oboe	1	nl	wikidata	1	human	
13382603	2849	ski jumper	sportsperson taking part in ski jumping competitions	0	da	wikidata	-1		
13382605	1154	Nordic combined skier	sportsperson taking part in Nordic combined competitions	0	en	wikidata	-1		
5716684	9203	dancer	person who dances	1	en	wikidata	1	human	
2374149	20709	botanist	person who practices botany	1	de	wikidata	1	human	
2487799	1445	mycologist	biologist who studies fungi	1	en	wikidata	1	human	
3055126	17574	entomologist	scientist specialising in entomology	1	de	wikidata	1	human	
520549	6800	geologist	scientist who studies geology	1	en	wikidata	1	human	
4009406	5901	sprinter	sportsperson taking part in running competitions up to a distance of 400 meters	1	sv	wikidata	1	human	
2252262	5522	rapper	artist who speaks rhymes in a rhythm over music	1	fr	wikidata	1	human	
19587958	245	sports scientist		0	en	wikidata	-1		
19827985	147	track and field coach		0	en	wikidata	-1		
4773904	7380	anthropologist	person with an extensive knowledge of anthropology	1	en	wikidata	1	human	
17488357	222	historian of religion	humanist who is engaged in history of religion	0	en	wikidata	-1		
744738	184	Encyclopédistes	contributing editor of the „Encyclopédie, ou dictionnaire raisonné des sciences, des arts et des métiers“	0	en	wikidata	-1		
2309784	30349	sport cyclist	someone who competes in the sport of cycling	0	nb	wikidata	-1		
897317	390	winegrower	who cultivates the vineyard, entrusts the winemaking to a winery cooperative or a merchant	1	en	wikidata	1	human	
13381863	5716	fencer	sportsperson taking part in fencing competitions	1	da	wikidata	1	human	
3400985	12326	academic	person who works as a teacher or researcher at a university or other higher education institution	1	oc	wikidata	1	human	
465501	1106	stunt performer	person who performs stunts	0	nl	wikidata	1	human	
2833480	52	stunt coordinator	arranges the casting and performance of stunts for a film, TV, or stage production	0	nl	wikidata	-1		
329455	907	justice of the peace	judicial officer, of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace	0	en	wikidata	-1		
10297252	773	detective writer		0	en	wikidata	-1		
5482740	1216	programmer	person who writes computer software	1	da	wikidata	1	human	
15627169	9302	trade unionist	person involved in trade unions; member or supporter of a trade union	1	de	wikidata	1	human	
11900058	6669	explorer	person who by means of travel searches out new information	1	ia	wikidata	1	human	
14972848	1642	lexicographer	writer, editor, or compiler of dictionaries	1	en	wikidata	1	human	
2917466	104	psychic	person who claims to use extrasensory perception to identify information hidden from the normal senses	1	en	wikidata	1	human	
212980	10226	psychologist	professional who evaluates, diagnoses, treats, and studies behavior and mental processes	1	en	wikidata	1	human	
17125263	1635	YouTuber	person that produces YouTube videos	1	en	wikidata	1	human	
1979034	6	network engineer	profession that deals with using computer networks according to hardware and software	0	en	wikidata	-1		
1709010	193	software engineer	practitioner of software engineering	0	nl	wikidata	1	human	
250867	41506	Catholic priest	main form of minister in the Catholic Church	1	en	wikidata	1	human	
1320883	415	talent manager	person or company that guides the career of an artist	0	fr	wikidata	-1		
19934710	84	air force officer	military officer in an air force	0	en	wikidata	1	human	
11631	779	astronaut	person who commands, pilots, or serves as a crew member of a spacecraft	1	eo	wikidata	1	human	
1053574	801	executive producer	profession	0	en	wikidata	-1		
10816969	280	club DJ	disc jockey that performs for a live audience	0	en	wikidata	-1		
289612	104	general contractor	profession	0	en	wikidata	-1		
901402	5537	geographer	scholar whose area of study is geography	1	da	wikidata	1	human	
1780490	151	communard	member of the Paris Commune (1871)	0	ie	wikidata	-1		
2961975	5884	business executive	person responsible for running a business, or an aspect of it	0	en	wikidata	-1		
266569	3653	animator	person who makes animated sequences out of still images	1	et	wikidata	1	human	
18545066	706	stand-up comedian	comedian of stand-up comedy	0	en	wikidata	-1		
10669499	2135	naval officer	commissioned officer serving in a navy	0	en	wikidata	-1		
3492027	914	submariner		1	ia	wikidata	1	human	
3578589	1149	environmentalist	someone who supports the goals of the environmental movement	1	fr	wikidata	1	human	
16323111	842	peace activist	activist focused on avoiding war	0	en	wikidata	-1		
131062	1091	urban planner	professional who works on city planning	0	Unknown	wikidata	1	human	
15491419	1	Director of UEA		0	en	wikidata	-1		
2865819	11945	opera singer	singer who sings in operas	1	da	wikidata	1	human	
11774891	30349	ice hockey player	sportsperson taking part in ice hockey competitions	0	en	wikidata	-1		
13365117	10743	handball player	sportsperson who plays one of the different types of handball	0	en	wikidata	-1		
19850998	177	sound artist	artist who uses sound as a medium	0	en	wikidata	-1		
1323191	3223	costume designer	person who designs costumes	1	da	wikidata	1	human	
3501317	3338	fashion designer	one who designs clothing and related items	1	fr	wikidata	1	human	
215548	39	jester	historical entertainer	1	pl	wikidata	1	human	
715222	617	lady-in-waiting	female personal assistant at a court, royal or feudal, attending on a queen, a princess, or a high-ranking noblewoman	0	en	wikidata	-1		
222344	7834	cinematographer	chief over the camera and lighting crews working on a film	1	tr	wikidata	1	human	
948329	310	character actor	actor who predominantly plays unusual or eccentric characters	0	en	wikidata	1	human	
15855449	1086	magician	entertainer who performs magic by creating the illusion of impossible or supernatural feats	1	es	wikidata	1	human	
1759246	488	theatrical producer	person who oversees the staging of theatre productions	0	en	wikidata	-1		
730242	560	test pilot	aviator who flies new and modified aircraft in specific maneuvers	0	hu	wikidata	-1		
715301	7492	comics artist	person who creates comics	0	en	wikidata	-1		
15995642	411	religious leader	leader for a religious organization	0	en	wikidata	-1		
635734	4257	archivist	professional who assesses, collects, organizes, preserves, maintains control over, and provides access to information determined to have long-term value	1	hu	wikidata	1	human	
1231865	10826	pedagogue	person working in the academic field of pedagogy	1	eu	wikidata	1	human	
578109	4524	television producer	occupation within video production for TV	0	ia	wikidata	-1		
1148872	200	impressionist	performer whose act consists of imitating the voice and mannerisms of others	1	en	wikidata	1	human	
1483709	458	land owner	owner of land; holder of the estate in land with considerable rights of ownership	0	en	wikidata	-1		
2468727	2111	classical scholar	person who studies classics, the culture of (mainly) Ancient Greece and Ancient Rome	0	en	wikidata	-1		
17598791	338	latinist	specialist of the Latin language	0	nl	wikidata	-1		
13382576	14681	rower	sportsperson taking part in rowing competitions	1	en	wikidata	1	human	
859528	4796	association football referee	supervisor of a game of association football	0	en	wikidata	-1		
488111	5655	pornographic actor	person who performs sex acts in pornographic films	0	ia	wikidata	1	human	
584301	1124	bassist	musician who plays a bass instrument	1	en	wikidata	1	human	
6673651	712	literary	person who works on literature	1	Unknown	wikidata	0	human	
3368718	1407	pathologist	physician with medical specialty pathology	1	en	wikidata	1	human	
13474373	4425	professional wrestler	sportsperson taking part in professional wrestling	0	en	wikidata	-1		
15982795	355	bodybuilder	person practicing bodybuilding	1	en	wikidata	1	human	
58891836	29	fitness model	person who models with a focus on athletic physique	0	en	wikidata	-1		
15839206	674	molecular biologist	profession	1	en	wikidata	1	human	
3126128	1931	geneticist	biologist who studies genetics and performs general research on genetic processes as well as development of genetic technologies to aid in the medicine and agriculture industries	1	en	wikidata	1	human	
11481802	2090	dub actor	actor specialized in voice dubbing	0	la	wikidata	-1		
9648008	530	banjoist	person who plays the banjo	1	nl	wikidata	1	human	
12362622	1737	philanthropist	person known for philanthropic work	1	en	wikidata	1	human	
662729	1088	public figure	legal concept	0	en	wikidata	0	human	
13219637	1750	cellist	musician who plays the cello	1	fr	wikidata	1	human	
18515558	1228	futsal player	sportsperson who plays futsal	0	tr	wikidata	-1		
13382533	4423	taekwondo athlete	sportsperson taking part in taekwondo competitions	1	mi	wikidata	1	human	
222749	115	acting	impersonation of a fictional character	1	en	wikidata	0	human	
6665249	7262	judoka	sportsperson taking part in judo competitions	1	eo	wikidata	1	cleanlab	
16154896	80	session musician	profession; musician hired to perform in recording sessions or live performances	0	en	wikidata	-1		
1075651	905	keyboardist	musician who plays keyboard instruments	1	fy	wikidata	1	human	
4175034	91	legislator	member of a legislature	1	eo	wikidata	1	human	
1114448	3671	cartoonist	visual artist who makes cartoons	1	de	wikidata	1	human	
7334758	20	ring announcer	sport announcer	0	en	wikidata	-1		
2055046	1586	physiologist	scientist who studies the function of living systems	1	en	wikidata	1	human	
2004963	1163	numismatist	person studying currencies, coins or paper money	1	de	wikidata	1	human	
1493121	752	military historian	humanist who is engaged in history of military	0	en	wikidata	-1		
805221	3603	ballet dancer	person who practices the art of ballet	1	da	wikidata	1	human	
2490358	6229	choreographer	person who creates choreographies	1	Unknown	wikidata	1	human	
805253	459	ballet master	profession	0	da	wikidata	1	human	
8963721	844	genealogist	person specializing in genealogy	1	en	wikidata	1	human	
3332711	1517	medievalist	historian, scientist or expert in medieval studies	1	de	wikidata	1	human	
765778	5015	organist	musician who plays any type of organ	1	en	wikidata	1	human	
2330979	30	polygraph	author who writes in a variety of fields	1	is	wikidata	0	human	
66711686	399	railway engineer	civil engineer who designs rail infrastructure	0	Unknown	wikidata	1	human	
5358395	117	electronic musician	musician who makes electronic music	0	en	wikidata	-1		
3640160	597	marine biologist	scientist specialising in marine biology	1	fr	wikidata	1	human	
2034021	182	dressmaker	person who makes custom clothing for men and women	1	da	wikidata	1	human	
1294626	173	music artist	occupation	0	en	wikidata	1	human	
18810049	41	cosplayer	one who takes part in cosplay	1	oc	wikidata	1	human	
128124	2132	audio engineer	engineer who operates recording, mixing, sound reproduction equipment	0	nl	wikidata	1	human	
3286043	788	glamour model	person who models for erotic photographs, mostly topless or nude but ranging up to fully clothed	0	fr	wikidata	1	human	
